"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"spatstat.random","spatstat.random","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","3.0-1",NA,"R (>= 3.5.0), spatstat.data (>= 2.2-0.003), spatstat.geom (>=
2.4-0.023), stats, utils, methods, grDevices","spatstat.utils (>= 2.3-1.003)",NA,"spatial, RandomFields (>= 3.1.24.1), RandomFieldsUtils (>=
0.3.3.1), spatstat.linnet (>= 2.0-0), spatstat.explore,
spatstat.model, spatstat (>= 2.3-3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"spatstat.sparse","spatstat.sparse","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","3.0-0",NA,"R (>= 3.5.0), stats, utils, methods, Matrix, abind, tensor","spatstat.utils (>= 3.0-0)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"spatstat.utils","spatstat.utils","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","3.0-1",NA,"R (>= 3.3.0), stats, graphics, grDevices, utils, methods",NA,NA,"spatstat.model",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"spelling","spelling","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","2.2",NA,NA,"commonmark, xml2, hunspell (>= 3.0), knitr",NA,"pdftools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"splines","splines","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","4.2.1","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"SQUAREM","SQUAREM","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","2021.1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"statmod","statmod","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.4.37",NA,"R (>= 3.0.0)","stats, graphics",NA,"MASS, tweedie",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"stats","stats","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","4.2.1","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"stats4","stats4","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","4.2.1","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 4.2.1",NA,NA,NA,NA,NA,"4.2.1"
"stringi","stringi","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.7.8",NA,"R (>= 3.1)","tools, utils, stats",NA,NA,NA,"file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"stringr","stringr","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.5.0",NA,"R (>= 3.3)","cli, glue (>= 1.6.1), lifecycle (>= 1.0.3), magrittr, rlang
(>= 1.0.0), stringi (>= 1.5.3), vctrs",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat (>=
3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"SummarizedExperiment","SummarizedExperiment","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.26.1",NA,"R (>= 4.0.0), methods, MatrixGenerics (>= 1.1.3),
GenomicRanges (>= 1.41.5), Biobase","utils, stats, tools, Matrix, BiocGenerics (>= 0.37.0),
S4Vectors (>= 0.33.7), IRanges (>= 2.23.9), GenomeInfoDb (>=
1.13.1), DelayedArray (>= 0.15.10)",NA,"HDF5Array (>= 1.7.5), annotate, AnnotationDbi, hgu95av2.db,
GenomicFeatures, TxDb.Hsapiens.UCSC.hg19.knownGene, jsonlite,
rhdf5, airway (>= 1.15.1), BiocStyle, knitr, rmarkdown, RUnit,
testthat, digest",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"survival","survival","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","3.4-0","recommended","R (>= 3.5.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"sys","sys","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","3.4",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"systemfonts","systemfonts","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.0.4",NA,"R (>= 3.2.0)",NA,"cpp11 (>= 0.2.1)","testthat (>= 2.1.0), covr, knitr, rmarkdown, tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"tcltk","tcltk","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","4.2.1","base",NA,"utils",NA,NA,NA,"Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"tensor","tensor","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.5",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.2.1"
"testthat","testthat","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","3.1.5",NA,"R (>= 3.1)","brio, callr (>= 3.5.1), cli (>= 3.4.0), desc, digest, ellipsis
(>= 0.2.0), evaluate, jsonlite, lifecycle, magrittr, methods,
pkgload, praise, processx, ps (>= 1.3.4), R6 (>= 2.2.0), rlang
(>= 1.0.1), utils, waldo (>= 0.4.0), withr (>= 2.4.3)",NA,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), knitr, mockery,
rmarkdown, rstudioapi, shiny, usethis, vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"textshaping","textshaping","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.3.6",NA,"R (>= 3.2.0)","systemfonts (>= 1.0.0)","cpp11 (>= 0.2.1), systemfonts (>= 1.0.0)","covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"tibble","tibble","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","3.1.8",NA,"R (>= 3.1.0)","fansi (>= 0.4.0), lifecycle (>= 1.0.0), magrittr, methods,
pillar (>= 1.7.0), pkgconfig, rlang (>= 1.0.2), utils, vctrs
(>= 0.3.8)",NA,"bench, bit64, blob, brio, callr, cli, covr, crayon (>=
1.3.4), DiagrammeR, dplyr, evaluate, formattable, ggplot2, hms,
htmltools, knitr, lubridate, mockr, nycflights13, pkgbuild,
pkgload, purrr, rmarkdown, stringi, testthat (>= 3.0.2), tidyr,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"tidyr","tidyr","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.2.1",NA,"R (>= 3.1)","dplyr (>= 1.0.0), ellipsis (>= 0.1.0), glue, lifecycle,
magrittr, purrr, rlang, tibble (>= 2.1.1), tidyselect (>=
1.1.0), utils, vctrs (>= 0.3.7)","cpp11 (>= 0.4.0)","covr, data.table, jsonlite, knitr, readr, repurrrsive (>=
1.0.0), rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"tidyselect","tidyselect","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.2.0",NA,"R (>= 3.4)","cli (>= 3.3.0), glue (>= 1.3.0), lifecycle (>= 1.0.3), rlang
(>= 1.0.4), vctrs (>= 0.4.1), withr",NA,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, stringr,
testthat (>= 3.1.1), tibble (>= 2.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"tidyverse","tidyverse","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.3.2",NA,"R (>= 3.3)","broom (>= 0.7.10), cli (>= 3.1.0), crayon (>= 1.4.2), dbplyr
(>= 2.1.1), dplyr (>= 1.0.7), dtplyr (>= 1.2.0), forcats (>=
0.5.1), ggplot2 (>= 3.3.5), googledrive (>= 2.0.0),
googlesheets4 (>= 1.0.0), haven (>= 2.4.3), hms (>= 1.1.1),
httr (>= 1.4.2), jsonlite (>= 1.7.2), lubridate (>= 1.8.0),
magrittr (>= 2.0.1), modelr (>= 0.1.8), pillar (>= 1.6.4),
purrr (>= 0.3.4), readr (>= 2.1.1), readxl (>= 1.3.1), reprex
(>= 2.0.1), rlang (>= 0.4.12), rstudioapi (>= 0.13), rvest (>=
1.0.2), stringr (>= 1.4.0), tibble (>= 3.1.6), tidyr (>=
1.1.4), xml2 (>= 1.3.3)",NA,"covr, feather, glue, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"timechange","timechange","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.1.1",NA,"R (>= 3.3)",NA,"cpp11 (>= 0.2.7)","testthat, knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"timeDate","timeDate","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","4021.106",NA,"R (>= 3.6.0)","graphics, utils, stats, methods",NA,"date, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"tinytex","tinytex","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.42",NA,NA,"xfun (>= 0.29)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"tools","tools","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","4.2.1","base",NA,NA,NA,"codetools, methods, xml2, curl, commonmark, knitr, xfun,
mathjaxr",NA,"Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"tzdb","tzdb","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.3.0",NA,"R (>= 3.4.0)",NA,"cpp11 (>= 0.4.2)","covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"urlchecker","urlchecker","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.0.1",NA,"R (>= 3.3)","cli, curl, tools, xml2",NA,"covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"usethis","usethis","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","2.1.6",NA,"R (>= 3.4)","cli (>= 3.0.1), clipr (>= 0.3.0), crayon, curl (>= 2.7), desc
(>= 1.4.0), fs (>= 1.3.0), gert (>= 1.4.1), gh (>= 1.2.1), glue
(>= 1.3.0), jsonlite, lifecycle (>= 1.0.0), purrr, rappdirs,
rlang (>= 1.0.0), rprojroot (>= 1.2), rstudioapi, stats, utils,
whisker, withr (>= 2.3.0), yaml",NA,"covr, knitr, magick, mockr, pkgload, rmarkdown, roxygen2 (>=
7.1.2), spelling (>= 1.2), styler (>= 1.2.0), testthat (>=
3.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"utf8","utf8","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.2.2",NA,"R (>= 2.10)",NA,NA,"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"utils","utils","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","4.2.1","base",NA,NA,NA,"methods, xml2, commonmark, knitr",NA,"Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"uuid","uuid","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.1-0",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"uwot","uwot","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.1.14",NA,"Matrix","Rcpp, methods, FNN, RcppAnnoy (>= 0.0.17), irlba","Rcpp, RcppProgress, RcppAnnoy, dqrng","testthat, covr, bigstatsr, RSpectra",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.1"
"vctrs","vctrs","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.5.1",NA,"R (>= 3.3)","cli (>= 3.4.0), glue, lifecycle (>= 1.0.3), rlang (>= 1.0.6)",NA,"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown (>= 2.0.1), rmarkdown, testthat (>=
3.0.0), tibble (>= 3.1.3), withr, xml2, waldo (>= 0.2.0),
zeallot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"viridis","viridis","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.6.2",NA,"R (>= 2.10), viridisLite (>= 0.4.0)","stats, ggplot2 (>= 1.0.1), gridExtra",NA,"hexbin (>= 1.27.0), scales, MASS, knitr, dichromat,
colorspace, raster, rasterVis, httr, mapproj, vdiffr, svglite
(>= 1.2.0), testthat, covr, rmarkdown, rgdal, maps",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"viridisLite","viridisLite","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.4.1",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"vroom","vroom","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.6.0",NA,"R (>= 3.4)","bit64, cli (>= 3.2.0), crayon, glue, hms, lifecycle, methods,
rlang (>= 0.4.2), stats, tibble (>= 2.0.0), tidyselect, tzdb
(>= 0.1.1), vctrs (>= 0.2.0), withr","cpp11 (>= 0.2.0), progress (>= 1.2.1), tzdb (>= 0.1.1)","archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
utils, waldo, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"waldo","waldo","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.4.0",NA,NA,"cli, diffobj (>= 0.3.4), fansi, glue, methods, rematch2, rlang
(>= 1.0.0), tibble",NA,"covr, R6, testthat (>= 3.0.0), withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"whisker","whisker","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.4",NA,NA,NA,NA,"markdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"whoami","whoami","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.3.0",NA,NA,"httr, jsonlite, utils",NA,"covr, mockery, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"withr","withr","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","2.5.0",NA,"R (>= 3.2.0)","graphics, grDevices, stats",NA,"callr, covr, DBI, knitr, lattice, methods, rlang, rmarkdown
(>= 2.12), RSQLite, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"xfun","xfun","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.35",NA,NA,"stats, tools",NA,"testit, parallel, codetools, rstudioapi, tinytex (>= 0.30),
mime, markdown, knitr, htmltools, remotes, pak, rhub, renv,
curl, jsonlite, magick, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"XML","XML","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","3.99-0.11",NA,"R (>= 4.0.0), methods, utils",NA,NA,"bitops, RCurl",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"xml2","xml2","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.3.3",NA,"R (>= 3.1.0)","methods",NA,"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"xmlparsedata","xmlparsedata","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.0.5",NA,"R (>= 3.0.0)",NA,NA,"covr, testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"xopen","xopen","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.0.0",NA,"R (>= 3.1)","processx",NA,"ps, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"xtable","xtable","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.8-4",NA,"R (>= 2.10.0)","stats, utils",NA,"knitr, plm, zoo, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"XVector","XVector","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","0.36.0",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9)","methods, utils, tools, zlibbioc, BiocGenerics, S4Vectors,
IRanges","S4Vectors, IRanges","Biostrings, drosophila2probe, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.1"
"yaml","yaml","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","2.3.6",NA,NA,NA,NA,"RUnit",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"zip","zip","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","2.2.2",NA,NA,NA,NA,"covr, processx, R6, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"zlibbioc","zlibbioc","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.44.0",NA,NA,NA,NA,NA,NA,"Artistic-2.0 + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"zoo","zoo","/beegfs/homes/alemsara/miniconda3/envs/immun2sev/lib/R/library","1.8-11",NA,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",NA,"AER, coda, chron, ggplot2 (>= 3.0.0), mondate, scales,
stinepack, strucchange, timeDate, timeSeries, tis, tseries, xts",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
